,CATEGORY,HEADLINE_CLEAN
0,OLAHRAGA,Jadwal Siaran Langsung Semifinal Hylo Open 2022 Hari Ini Ada Anthony Ginting Live di iNews
1,KESEHATAN,Ngeri 978 Tahun Lagi Diperkirakan Bentuk Manusia Jadi Seperti Ini
2,KESEHATAN,Frustrasi Tak Cetak Gol Ronaldo Main Gulat Lawan Bek Aston Villa
3,KESEHATAN,Studi Temukan Bakteri Kulit Ternyata Bisa Picu Penyakit Lupus
4,KESEHATAN,Penyebab Diabetes pada Anak Orang Tua Wajib Tahu
5,KESEHATAN,10 Kebiasaan yang Tingkatkan Kualitas Sperma Kurangi Ngopi
6,EKONOMI,Direksi dan Komisaris Wanaartha Mundur Berjemaah
7,OLAHRAGA,Antonio Conte Kecam FA yang Hanya Beri Waktu Istirahat 3 Hari Pasca Piala Dunia 2022
8,OLAHRAGA,Diogo Dalot Dapat Pujian Usai Tampil Ciamik Ketika Manchester United Kalahkan West Ham United
9,KESEHATAN,Stroke Bisa Bikin Cacat Permanen Kenali 2 Jenisnya
10,OLAHRAGA,Mulai Melempem Bos Mercedes Bocorkan Kapan Lewis Hamilton Bakal Pensiun dari F1
11,KESEHATAN,Benarkah Air Kelapa Bisa Membersihkan Ginjal
12,EKONOMI,Honda Pasang Target Jual 1 Juta Motor Listrik di Indonesia 2030
13,EKONOMI,Perencana Keuangan Respons soal Gaji Miliaran Bisnis Asuransi
14,OLAHRAGA,Kisah Aji Soeganda Si Manusia Paling Kuat di Indonesia yang Otot Tangannya Putus pada saat Angkat Beban
15,KESEHATAN,11 Gejala yang Dialami Pasien Gagal Ginjal Akut Tak Cuma DemamDiare
16,OLAHRAGA,Hasil Perempatfinal Hylo Open 2022 Pulangkan Wakil India Gregoria Mariska Tunjung ke Semifinal
17,KESEHATAN,Aaron Carter Meninggal Riwayat Kepribadian GandaSkizofrenia Disorot
18,KESEHATAN,Heboh Jisoo BLACKPINK Punya Benjolan di Leher Benarkah Gejala Tumor
19,OLAHRAGA,Joao Cancelo Dikartu Merah Manchester City vs Fulham Imbang 11 di Babak Pertama
20,OLAHRAGA,Atalanta Vs Napoli Comeback Il Partenopei Menang 21
21,KESEHATAN,Ribuan Warga Peru Protes Tuntut Presiden Castillo Mundur
22,EKONOMI,Pentingnya Asuransi Penonton Bola Belajar dari Tragedi Kanjuruhan
23,OLAHRAGA,Lagi LeBron James Ungkap Keinginan untuk Buat Tim NBA di Las Vegas
24,OLAHRAGA,Hasil Manchester City vs Fulham di Liga Inggris 20222023 Erling Haaland Jadi Pahlawan The Citizens Menang 21
25,EKONOMI,Rupiah Tertekan ke Rp15645 Karena Imbal Hasil Obligasi AS Naik
26,EKONOMI,Selandia Baru Naikkan Suku Bunga 50 Bps Tertinggi dalam 7 Tahun
27,OLAHRAGA,Jelang Manchester City vs Fulham Pep Guardiola Sanjung Kualitas The Cottagers
28,KESEHATAN,PKB Buka Suara soal Isu Dekati PKS Gabung Koalisi Bareng Gerindra
29,EKONOMI,Rupiah Meradang Makin Mendekat ke Rp15400 per Dolar AS
30,OLAHRAGA,Guardiola Sebut 7 Calon Juara Liga Inggris Musim Ini
31,EKONOMI,Rektor UGM Klaim Siap Bayar Kerugian LPS Rp29 M karena Bank Gagal
32,EKONOMI,OJK Siapkan 4 Jurus Jaga Stabilitas Keuangan
33,KESEHATAN,Mau Cat Rambut Warna AshGrey Pikir Dulu Sebelum Bilang Yes
34,OLAHRAGA,Usai Bekuk Real Sociedad Manchester United Langsung Fokus Hadapi Aston Villa di Liga Inggris 20222023
35,OLAHRAGA,GaraGara Kaca Spion Lepas Fernando Alonso Kehilangan Poin di F1 GP Amerika Serika 2022
36,OLAHRAGA,Jeblok di FP1 Valencia Bagnaia Gugup Jelang Penentuan Juara
37,KESEHATAN,9 Manfaat Daun Binahong Bisa Redakan Nyeri Haid
38,OLAHRAGA,Meski Didesak Fans Sebastian Vettel Tak Goyah untuk Pensiun dari F1
39,EKONOMI,Rupiah Meradang ke Rp15274 per Dolar AS Awali Pekan Ini
40,KESEHATAN,Jubir Kemenkes Gagal Ginjal Akut Disebabkan Oleh Etilen Glikol
41,KESEHATAN,Speech Delay pada Anak Kapan Orang Tua Perlu Waswas
42,KESEHATAN,Obat Alami untuk Bumil Yang Masuk Angin
43,EKONOMI,Situasi Global Masih Tidak Pasti Rupiah Ditutup di Rp15427
44,KESEHATAN,9 Cara Menghilangkan Pilek dengan Cepat Tak Perlu Minum Obat
45,OLAHRAGA,Berhasil Unggul di Perempat Final Gregoria Ginting dan RehanLisa Siap Melaju ke Final Hylo Open 2022 Saksikan LIVE di iNews New Home Of Badminton
46,KESEHATAN,5 Cara Membesarkan Bokong Wanita dengan Gerakan Olahraga
47,KESEHATAN,Penyebab Seseorang Jadi Toxic People Korban Bullying Hingga Trauma Masa Kecil
48,KESEHATAN,5 Keluhan Terbanyak Pasien Gagal Ginjal Akut Orang Tua Wajib Waspada
49,EKONOMI,Rupiah Perkasa di Rp15560 per Dolar AS Pagi Ini
50,OLAHRAGA,George Russell Salahkan Diri Sendiri Usai Gagal Raih Pole Position di F1 GP Meksiko 2022
51,EKONOMI,Pefindo Perempuan Jadi Pengguna Paylater Terbanyak
52,EKONOMI,Kolaborasi BPJS Ketenagakerjaan dan KONI Lindungi Ekosistem Olahraga
53,OLAHRAGA,4 Kiper Dicari Manchester United untuk Gantikan David De Gea Nomor 1 dari Liga Inggris
54,EKONOMI,Lagilagi Bunga Acuan BI Naik Jadi 475 Persen
55,EKONOMI,BI Perkirakan Inflasi Tembus 58 Persen Pada Oktober 2022
56,EKONOMI,LPS Jamin 4955 Juta Rekening Bank Sampai Agustus 2022
57,EKONOMI,Kemenkeu Akan Setop Terbitkan Euro Bond Tahun Ini
58,OLAHRAGA,GaraGara Kevin Durant Klay Thompson Mampu Bangkit dari Keterpurukan karena Cedera
59,KESEHATAN,Mengapa Wanita Rentan Depresi saat Memasuki Masa Menopause
60,EKONOMI,BPJS Ketenagakerjaan Lindungi 32268 Pekerja Rentan di Kabupaten Paser
61,EKONOMI,LPS Prediksi Bunga Deposito Bank Naik Hingga 15 Bps Akhir 2022
62,EKONOMI,Survei Cawapres Sandiaga Uno Ungguli RK hingga AHY
63,OLAHRAGA,Kualifikasi F1 GP Meksiko 2022 Terpuruk Charles Leclerc Sebut Ada Masalah Mesin
64,EKONOMI,BI Angkat Suara soal Pelemahan Rupiah Terhadap Dolar AS
65,KESEHATAN,Vaksin AstraZeneca Punya Risiko Pembekuan Darah yang Lebih Tinggi
66,EKONOMI,Survei BI Kredit Tumbuh Positif pada Kuartal III
67,OLAHRAGA,Haaland Masih Manusia Degdegan Juga Eksekusi Penalti
68,KESEHATAN,141 Anak Meninggal Kasus Akibat Gagal Ginjal Indonesia Lampaui Gambia
69,KESEHATAN,FOTO Anakanak Pakistan Dikubur saat Gerhana Dipercaya Berkhasiat
70,EKONOMI,Ajaib Prime Layanan Eksklusif dan Personal untuk Cerdas Berinvestasi
71,KESEHATAN,BPOM Cemaran Etilen Glikol Obat Yarindo Sampai 100 Kali Lipat
72,KESEHATAN,Efek Samping Vaksin Inavac buatan Indonesia yang Diizinkan BPOM
73,OLAHRAGA,Tuchel Ungkap Kekecewaan Usai Dipecat Chelsea
74,EKONOMI,5 Rekomendasi FilmSerial MCU Wajib Tonton Sebelum Black Panther 2
75,KESEHATAN,Dikira Sariawan Biasa Wanita Inggris Jalani Operasi Pemotongan Lidah
76,OLAHRAGA,Hasil Kualifikasi MotoGP Valencia 2022 Jorge Martin Pole Position Marc Marquez Mengekor Ke2
77,KESEHATAN,Hatihati Studi Temukan Pelurus Rambut Bisa Picu Kanker Endometrium
78,OLAHRAGA,Menggila di F1 2022 Max Verstappen Disebut Layak Dapatkan Pengakuan Istimewa
